Release Date;Movie;Production Budget;Domestic Gross;Worldwide Gross
12/18/2009;Avatar;425000000;760507625;2783918982
5/20/2011;Pirates of the Caribbean: On Stranger Tides;410600000;241063875;1045663875
5/1/2015;Avengers: Age of Ultron;330600000;459005868;1408218722
12/18/2015;Star Wars Ep. VII: The Force Awakens;306000000;936662225;2058662225
5/24/2007;Pirates of the Caribbean: At World’s End;300000000;309420425;963420425
11/6/2015;Spectre;300000000;200074175;879620923
7/20/2012;The Dark Knight Rises;275000000;448139099;1084439099
7/2/2013;The Lone Ranger;275000000;89302115;260002115
3/9/2012;John Carter;275000000;73058679;282778100
11/24/2010;Tangled;260000000;200821936;586581936
5/4/2007;Spider-Man 3;258000000;336530303;894860230
5/6/2016;Captain America: Civil War;250000000;408084349;1153304495
3/25/2016;Batman v Superman: Dawn of Justice;250000000;330360194;868160194
12/14/2012;The Hobbit: An Unexpected Journey;250000000;303003568;1017003568
7/15/2009;Harry Potter and the Half-Blood Prince;250000000;301959197;935083686
12/13/2013;The Hobbit: The Desolation of Smaug;250000000;258366855;960366855
12/17/2014;The Hobbit: The Battle of the Five Armies;250000000;255119788;955119788
4/14/2017;The Fate of the Furious;250000000;225764765;1237444462
6/28/2006;Superman Returns;232000000;200120000;374085065
5/26/2017;Pirates of the Caribbean: Dead Men Tell No Tales;230000000;172558876;784610092
11/14/2008;Quantum of Solace;230000000;169368427;591692078
5/4/2012;The Avengers;225000000;623279547;1519479547
7/7/2006;Pirates of the Caribbean: Dead Man’s Chest;225000000;423315812;1066215812
6/14/2013;Man of Steel;225000000;291045518;667999518
5/16/2008;The Chronicles of Narnia: Prince Caspian;225000000;141621490;417341288
7/3/2012;The Amazing Spider-Man;220000000;262030663;757890267
6/21/2017;Transformers: The Last Knight;217000000;130168683;603968683
6/12/2015;Jurassic World;215000000;652198010;1671640593
5/25/2012;Men in Black 3;215000000;179020854;654213485
6/24/2009;Transformers: Revenge of the Fallen;210000000;402111870;836519699
6/27/2014;Transformers: Age of Extinction;210000000;245439076;1104039076
5/26/2006;X-Men: The Last Stand;210000000;234362462;459260946
5/14/2010;Robin Hood;210000000;105269730;322241588
5/18/2012;Battleship;209000000;65233400;305218228
12/14/2005;King Kong;207000000;218080025;550517357
12/7/2007;The Golden Compass;205000000;70107728;367262558
12/19/1997;Titanic;200000000;658672302;2207615668
12/16/2016;Rogue One: A Star Wars Story;200000000;532177324;1050988488
6/17/2016;Finding Dory;200000000;486295561;1022617376
6/18/2010;Toy Story 3;200000000;415004880;1069818229
5/3/2013;Iron Man 3;200000000;408992272;1215392272
5/5/2017;Guardians of the Galaxy Vol 2;200000000;389813101;860477263
6/30/2004;Spider-Man 2;200000000;373524485;795110670
3/5/2010;Alice in Wonderland;200000000;334191110;1025491110
11/8/2012;Skyfall;200000000;304360277;1110526981
6/21/2013;Monsters University;200000000;268488329;743588329
3/8/2013;Oz the Great and Powerful;200000000;234770996;490359051
5/23/2014;X-Men: Days of Future Past;200000000;233921534;747862775
5/2/2014;The Amazing Spider-Man 2;200000000;202853933;708996336
6/24/2011;Cars 2;200000000;191450875;560155383
12/17/2010;Tron: Legacy;200000000;172062763;400062763
11/13/2009;2012;200000000;166112167;788408539
5/21/2009;Terminator Salvation;200000000;125322469;365491792
6/17/2011;Green Lantern;200000000;116601172;219535492
5/28/2010;Prince of Persia: Sands of Time;200000000;90759676;314594597
6/29/2011;Transformers: Dark of the Moon;195000000;352390543;1123790543
6/9/2017;The Mummy;195000000;80101125;409076392
3/1/2013;Jack the Giant Slayer;195000000;65187603;197687603
4/3/2015;Furious 7;190000000;351032910;1516748684
5/16/2013;Star Trek Into Darkness;190000000;228778661;467381584
6/21/2013;World War Z;190000000;202359711;531514650
5/10/2013;The Great Gatsby;190000000;144840419;351040419
11/6/2009;Disney's A Christmas Carol;190000000;137855863;315709697
7/12/2013;Pacific Rim;190000000;101802906;411002906
11/25/2015;The Good Dinosaur;187500000;123087120;334342692
5/2/2008;Iron Man;186000000;318604126;585171547
7/18/2008;The Dark Knight;185000000;533345358;1001620618
5/22/2008;Indiana Jones and the Kingdom of the Crystal Skull;185000000;317023851;786558145
6/22/2012;Brave;185000000;237282182;554606532
3/10/2017;Kong: Skull Island;185000000;168052812;561137727
7/22/2016;Star Trek Beyond;185000000;158848340;336398312
10/6/2017;Blade Runner 2049;185000000;85456130;229159894
12/9/2005;The Chronicles of Narnia: The Lion- the Witch and the Wardrobe;180000000;291710957;720539572
5/30/2014;Maleficent;180000000;241407328;758536735
11/18/2016;Fantastic Beasts and Where to Find Them;180000000;234037575;803798342
6/27/2008;WALL-E;180000000;223808164;532590994
8/10/2007;Rush Hour 3;180000000;140125968;256585882
7/1/2016;The Legend of Tarzan;180000000;126643061;349143061
11/3/2017;Thor: Ragnarok;180000000;121005000;427005000
11/23/2011;Hugo;180000000;73864507;180047784
7/21/2017;Valerian and the City of a Thousand Planets;180000000;40479370;215116144
2/6/2015;Jupiter Ascending;179000000;47482519;181982519
5/27/2016;X-Men: Apocalypse;178000000;155442489;542742489
6/6/2014;Edge of Tomorrow;178000000;100206256;370541256
4/15/2016;The Jungle Book;175000000;364001123;963901123
6/19/2015;Inside Out;175000000;356461711;853707581
7/7/2017;Spider-Man: Homecoming;175000000;333919623;879380251
8/5/2016;Suicide Squad;175000000;325100054;746100054
5/29/2009;Up;175000000;293004164;731542621
3/27/2009;Monsters vs. Aliens;175000000;198351526;381687380
8/7/2009;G.I. Joe: The Rise of Cobra;175000000;150201498;302469017
6/30/1999;Wild Wild West;175000000;113805681;221229335
8/1/2008;The Mummy: Tomb of the Dragon Emperor;175000000;102491776;405760225
6/22/2007;Evan Almighty;175000000;100289690;174131329
7/28/1995;Waterworld;175000000;88246220;264246220
5/12/2017;King Arthur: Legend of the Sword;175000000;39175066;140012608
12/25/2013;47 Ronin;175000000;38362475;151716815
12/31/2020;Singularity;175000000;0;0
8/1/2014;Guardians of the Galaxy;170000000;333172112;771051335
5/7/2010;Iron Man 2;170000000;312433331;621156389
4/4/2014;Captain America: The Winter Soldier;170000000;259746958;714401889
7/11/2014;Dawn of the Planet of the Apes;170000000;208545589;710644566
11/10/2004;The Polar Express;170000000;194949659;319090241
6/1/2012;Snow White and the Huntsman;170000000;155136755;401021746
7/1/2003;Terminator 3: Rise of the Machines;170000000;150358296;433058296
5/7/2004;Van Helsing;170000000;120150546;300150546
5/22/2015;Tomorrowland;170000000;93436322;207283457
5/27/2016;Alice Through the Looking Glass;170000000;77042381;277442381
5/21/2010;Shrek Forever After;165000000;238736787;756244673
11/4/2016;Doctor Strange;165000000;232641920;677541920
11/7/2014;Big Hero 6;165000000;222527828;652127828
3/26/2010;How to Train Your Dragon;165000000;217581231;494870991
11/2/2012;Wreck-It Ralph;165000000;189412677;496511521
11/5/2014;Interstellar;165000000;188017894;667752422
6/24/2016;Independence Day: Resurgence;165000000;103144286;387644286
7/29/2011;Cowboys and Aliens;163000000;100240551;175910315
3/17/2017;Beauty and the Beast;160000000;504014165;1257523876
5/17/2007;Shrek the Third;160000000;322719944;807330936
7/16/2010;Inception;160000000;292576195;832402082
11/20/2015;The Hunger Games: Mockingjay - Part 2;160000000;281723902;650523427
5/24/2013;Fast and Furious 6;160000000;238679850;789300444
5/16/2014;Godzilla;160000000;200676069;529076069
6/3/2011;X-Men: First Class;160000000;146408305;355408305
12/25/2008;The Curious Case of Benjamin Button;160000000;127509326;329809326
7/14/2010;The Sorcerer's Apprentice;160000000;63150991;217986320
5/12/2006;Poseidon;160000000;60674817;181674817
6/10/2016;Warcraft;160000000;47225655;433125655
12/18/2018;Aquaman;160000000;0;0
9/30/2016;Deepwater Horizon;156000000;61433527;122931214
12/10/2010;The Chronicles of Narnia: The Voyage of the Dawn Treader;155000000;104386950;418186950
7/1/2015;Terminator: Genisys;155000000;89760956;440160956
11/24/2004;Alexander;155000000;34297191;167297191
7/14/2017;War for the Planet of the Apes;152000000;146808950;490208950
5/25/2001;Pearl Harbor;151500000;198539855;449239855
7/2/2007;Transformers;151000000;319246193;708272592
6/2/2017;Wonder Woman;150000000;412550942;817000349
11/22/2013;Frozen;150000000;400738009;1274234980
3/4/2016;Zootopia;150000000;341268248;1019920974
7/11/2007;Harry Potter and the Order of the Phoenix;150000000;292004738;942943935
11/18/2005;Harry Potter and the Goblet of Fire;150000000;290013036;896911078
5/15/2003;The Matrix Reloaded;150000000;281553689;738576929
12/14/2007;I am Legend;150000000;256393010;585532684
11/23/2016;Moana;150000000;248757044;639537208
7/1/2008;Hancock;150000000;227946274;624234272
7/15/2005;Charlie and the Chocolate Factory;150000000;206459076;475825484
6/29/2007;Ratatouille;150000000;206445654;626549695
11/8/2013;Thor: The Dark World;150000000;206362140;644602516
6/15/2005;Batman Begins;150000000;205343774;359142722
7/31/2015;Mission: Impossible—Rogue Nation;150000000;195042377;700868363
7/21/2017;Dunkirk;150000000;187880461;505700220
5/6/2011;Thor;150000000;181030624;449326618
11/7/2008;Madagascar: Escape 2 Africa;150000000;180010950;599516844
5/1/2009;X-Men Origins: Wolverine;150000000;179883157;374825760
5/22/2009;Night at the Museum: Battle of the Smithsonian;150000000;177243721;402231063
5/26/2011;Kung Fu Panda 2;150000000;165249063;664837547
5/15/2015;Mad Max: Fury Road;150000000;153636354;370742166
11/5/2003;The Matrix Revolutions;150000000;139270910;427300260
5/5/2006;Mission: Impossible III;150000000;133501348;397501348
5/15/2009;Angels & Demons;150000000;133375846;490875846
5/14/2004;Troy;150000000;133298577;484161265
7/1/2010;The Last Airbender;150000000;131772187;319713881
11/2/2007;Bee Movie;150000000;126631277;287594577
7/24/2009;G-Force;150000000;119436770;292817841
11/21/2008;Bolt;150000000;114053579;328015029
3/30/2012;Wrath of the Titans;150000000;83670083;305270083
11/16/2007;Beowulf;150000000;82195215;194995215
5/11/2012;Dark Shadows;150000000;79727149;238202668
6/28/2013;White House Down;150000000;73103784;205440387
2/12/2010;The Wolfman;150000000;62189884;142634358
2/17/2017;The Great Wall;150000000;45157105;334550106
10/9/2015;Pan;150000000;35088320;151550856
3/11/2011;Mars Needs Moms;150000000;21392758;39549758
11/3/2006;Flushed Away;149000000;64665672;179357126
6/8/2012;Madagascar 3: Europe's Most Wanted;145000000;216391482;746921271
12/16/2011;Mission: Impossible—Ghost Protocol;145000000;209397903;694713230
6/13/2014;How to Train Your Dragon 2;145000000;177002924;614586270
6/16/1999;Tarzan;145000000;171091819;448191819
3/7/2014;Mr. Peabody & Sherman;145000000;111506430;269806430
11/21/2012;Rise of the Guardians;145000000;103412758;306900902
4/8/2005;Sahara;145000000;68671925;121671925
7/15/2016;Ghostbusters;144000000;128350574;229034050
11/22/2002;Die Another Day;142000000;160942139;431942139
7/9/2003;Pirates of the Caribbean: The Curse of the Black Pearl;140000000;305411224;634954103
5/8/2009;Star Trek;140000000;257730019;385680446
7/1/1998;Armageddon;140000000;201578182;554600000
7/3/2002;Men in Black 2;140000000;190418803;441767803
7/22/2011;Captain America: The First Avenger;140000000;176654505;370569776
1/29/2016;Kung Fu Panda 3;140000000;143528619;518614383
7/10/1998;Lethal Weapon 4;140000000;130444603;285400000
3/27/2013;G.I. Joe: Retaliation;140000000;122523060;375740705
12/5/2003;The Last Samurai;140000000;111110575;456810575
12/21/2005;Fun With Dick And Jane;140000000;110550000;203018919
12/12/2014;Exodus: Gods and Kings;140000000;65014513;268314513
7/1/2016;The BFG;140000000;55483770;199905224
2/26/2016;Gods of Egypt;140000000;31153464;133553464
5/3/2002;Spider-Man;139000000;403706375;821706375
3/6/2009;Watchmen;138000000;107509799;184068357
7/29/2005;Stealth;138000000;32116746;76416746
6/13/2008;The Incredible Hulk;137500000;134806913;265573859
6/20/2003;Hulk;137000000;132177234;245075434
7/11/2001;Final Fantasy: The Spirits Within;137000000;32131830;85131830
11/16/2012;The Twilight Saga: Breaking Dawn- Part 2;136200000;292324737;829724737
3/22/2013;The Croods;135000000;187168425;573068425
12/25/2015;The Revenant;135000000;183637894;532950503
11/19/1999;The World is Not Enough;135000000;126930660;361730660
3/4/2011;Rango;135000000;123257581;245504574
11/14/2003;Master and Commander: The Far Side of the World;135000000;93926386;212912137
7/17/2013;Turbo;135000000;83028130;286896578
6/3/2016;Teenage Mutant Ninja Turtles: Out of the Shadows;135000000;82051601;245623848
11/18/2011;Happy Feet Two;135000000;64006466;157956466
7/28/2006;Miami Vice;135000000;63478838;163818556
6/29/2005;War of the Worlds;132000000;234280354;606836535
11/26/2014;Penguins of Madagascar;132000000;83350911;367650911
11/22/2013;The Hunger Games: Catching Fire;130000000;424668047;864868047
6/4/2004;Harry Potter and the Prisoner of Azkaban;130000000;249538952;796688549
8/3/2007;The Bourne Ultimatum;130000000;227471070;442161562
6/6/2008;Kung Fu Panda;130000000;215434591;631910531
7/17/2015;Ant-Man;130000000;180202163;519338048
3/27/2015;Home;130000000;177397510;386069390
10/28/2011;Puss in Boots;130000000;149260504;554987477
11/5/2010;Megamind;130000000;148415853;321887208
7/18/2003;Bad Boys II;130000000;138540870;273271982
4/11/2014;Rio 2;130000000;131538435;492846291
7/23/2010;Salt;130000000;118311368;290650494
3/28/2014;Noah;130000000;101200044;352831065
12/21/2011;The Adventures of Tintin;130000000;77591831;373993951
5/31/2013;After Earth;130000000;60522097;251499665
11/26/2008;Australia;130000000;49554002;215080810
7/19/2013;R.I.P.D.;130000000;33618855;79076678
11/18/2011;The Twilight Saga: Breaking Dawn- Part 1;127500000;281287133;689420051
5/19/2000;Dinosaur;127500000;137748063;356148063
3/3/2017;Logan;127000000;226277068;615577068
12/19/2014;Night at the Museum: Secret of the Tomb;127000000;113746621;356546621
7/15/2011;Harry Potter and the Deathly Hallows: Part II;125000000;381011219;1341511219
11/21/2014;The Hunger Games: Mockingjay - Part 1;125000000;337135885;766652288
11/16/2001;Harry Potter and the Sorcerer’s Stone;125000000;317575550;974755371
11/19/2010;Harry Potter and the Deathly Hallows: Part I;125000000;295983305;960283305
5/19/2006;The Da Vinci Code;125000000;217536138;767820459
5/2/2003;X2;125000000;214949694;406875536
4/29/2011;Fast Five;125000000;209837675;629969804
8/8/2014;Teenage Mutant Ninja Turtles;125000000;191204754;485004754
12/16/2011;Sherlock Holmes: A Game of Shadows;125000000;186848418;535663443
5/28/2004;The Day After Tomorrow;125000000;186740799;556319450
3/31/2017;The Boss Baby;125000000;175001663;492315964
4/1/2010;Clash of the Titans;125000000;163214888;493214888
11/4/2016;Trolls;125000000;153707064;344780046
5/19/1998;Godzilla;125000000;136314294;376000000
6/8/2012;Prometheus;125000000;126477084;402448265
8/10/2012;The Bourne Legacy;125000000;113203870;280355920
6/20/1997;Batman & Robin;125000000;107325195;238317814
8/3/2012;Total Recall;125000000;58877969;211856088
12/21/2016;Assassin’s Creed;125000000;54647948;240497948
1/13/2017;Monster Trucks;125000000;33370166;61681268
8/27/1999;The 13th Warrior;125000000;32698899;61698899
11/17/2000;How the Grinch Stole Christmas;123000000;260044825;345141403
5/24/2000;Mission: Impossible 2;120000000;215409889;549588516
6/30/2000;The Perfect Storm;120000000;182618434;328711434
7/29/2016;Jason Bourne;120000000;162192920;416197059
6/15/2007;Fantastic Four: Rise of the Silver Surfer;120000000;131921738;289480691
11/21/2012;Life of Pi;120000000;124987022;607987022
2/16/2007;Ghost Rider;120000000;115802596;229545589
6/27/2003;Charlie's Angels: Full Throttle;120000000;100814328;227200000
8/9/2013;Elysium;120000000;93050117;286192091
4/19/2013;Oblivion;120000000;89107235;287916633
3/24/2017;Power Rangers;120000000;85364450;140845191
7/19/2002;Stuart Little 2;120000000;64956806;166000000
2/12/2014;RoboCop;120000000;58607007;242981799
6/11/2004;The Chronicles of Riddick;120000000;57712751;107212751
8/7/2015;Fantastic Four;120000000;56117548;167977596
5/9/2008;Speed Racer;120000000;43945766;93394462
7/22/2005;The Island;120000000;35818913;163018913
12/17/2010;How Do You Know?;120000000;30212620;49628177
6/23/2010;Knight and Day;117000000;76423035;258751370
5/19/1999;Star Wars Ep. I: The Phantom Menace;115000000;474544677;1027044677
5/19/2005;Star Wars Ep. III: Revenge of the Sith;115000000;380270577;848998877
5/16/2002;Star Wars Ep. II: Attack of the Clones;115000000;310676740;656695615
11/2/2001;Monsters- Inc.;115000000;289423425;559757719
7/26/2013;The Wolverine;115000000;132556852;416456852
2/7/1997;Dante's Peak;115000000;67163857;178200000
4/22/2016;The Huntsman: Winter’s War;115000000;48003015;165149302
6/14/2002;Windtalkers;115000000;40914068;77628265
7/4/2008;Astérix aux Jeux Olympiques;113500000;999811;132999811
12/25/2010;Gulliver's Travels;112000000;42779261;232017848
10/4/2013;Gravity;110000000;274092705;695941797
12/22/2006;Night at the Museum;110000000;250863268;579446407
6/10/2005;Mr. and Mrs. Smith;110000000;186336279;486124090
5/29/2015;San Andreas;110000000;155190832;467151160
7/29/2011;The Smurfs;110000000;142614158;563749323
6/27/2007;Live Free or Die Hard;110000000;134529403;382288147
3/20/2015;The Divergent Series: Insurgent;110000000;130179072;295279072
12/10/2004;Ocean's Twelve;110000000;125531634;362989076
12/19/1997;Tomorrow Never Dies;110000000;125304276;339504276
6/28/2000;The Patriot;110000000;113330342;215300000
3/7/2014;300: Rise of an Empire;110000000;106580051;330780051
12/17/2004;The Aviator;110000000;102608827;208370892
12/21/2016;Passengers;110000000;100014092;302211243
1/14/2011;The Green Hornet;110000000;98780042;229155503
9/30/2016;Miss Peregrine’s Home for Peculiar Children;110000000;87242834;296642834
10/7/2011;Real Steel;110000000;85463309;263880341
6/11/2010;The A-Team;110000000;77222099;177241171
7/31/2013;The Smurfs 2;110000000;71017784;348547523
3/18/2016;The Divergent Series: Allegiant;110000000;66184051;171484051
6/12/2009;The Taking of Pelham 123;110000000;65452312;152364370
11/1/2013;Ender's Game;110000000;61737191;127983283
4/2/2004;Home on the Range;110000000;50026353;76482461
6/13/1997;Speed 2: Cruise Control;110000000;48097081;150468000
5/6/2005;Kingdom of Heaven;110000000;47398413;218853353
3/31/2017;Ghost in the Shell;110000000;40563557;167918847
6/16/2004;Around the World in 80 Days;110000000;24004159;72004159
12/19/2001;The Lord of the Rings: The Fellowship of the Ring;109000000;315544750;887210985
11/21/2003;The Cat in the Hat;109000000;101018283;133818283
12/25/2001;Ali;109000000;58183966;87683966
10/2/2015;The Martian;108000000;228433663;663851905
7/16/2004;I- Robot;105000000;144801023;348629585
12/17/1999;Stuart Little;105000000;140015224;298815224
11/25/2009;The Princess and the Frog;105000000;104400899;270997378
3/7/2008;10-000 B.C.;105000000;94784201;269065678
7/22/2016;Ice Age: Collision Course;105000000;64063008;403841637
4/27/2001;Town & Country;105000000;6712451;10364769
9/22/2017;Kingsman: The Golden Circle;104000000;98614052;378779249
6/9/2000;Gone in 60 Seconds;103300000;101643008;232643008
5/5/2000;Gladiator;103000000;187683805;457683805
5/23/2013;The Hangover 3;103000000;112200072;362000072
3/9/2018;A Wrinkle in Time;103000000;0;0
7/1/2009;Public Enemies;102500000;97104620;212282709
11/17/2006;Casino Royale;102000000;167365000;594420283
6/21/2002;Minority Report;102000000;132024714;358824714
10/26/2012;Cloud Atlas;102000000;27108272;130673154
11/15/2002;Harry Potter and the Chamber of Secrets;100000000;261987880;878979634
7/2/1991;Terminator 2: Judgment Day;100000000;203464105;515419827
6/16/1995;Batman Forever;100000000;184031112;336529144
7/27/2001;Planet of the Apes;100000000;180011740;362211740
11/19/2004;National Treasure;100000000;173005002;331323410
12/25/2012;Django Unchained;100000000;162805434;449948323
12/22/2010;Little Fockers;100000000;148438600;310650574
7/15/1994;True Lies;100000000;146282411;365300000
11/2/2007;American Gangster;100000000;130164645;267985456
9/18/2009;Cloudy with a Chance of Meatballs;100000000;124870275;236827677
8/6/2010;The Other Guys;100000000;119219978;170936470
12/17/2004;Lemony Snicket's A Series of Unfortunate Events;100000000;118627117;212956024
12/25/2013;The Wolf of Wall Street;100000000;116900694;389870414
5/24/2013;Epic;100000000;107518682;262794441
6/21/1996;Eraser;100000000;101295562;234400000
6/21/1996;The Hunchback of Notre Dame;100000000;100138851;325500000
12/15/2000;The Emperor's New Groove;100000000;89296573;169296573
8/17/2012;The Expendables 2;100000000;85028192;311979256
10/16/2009;Where the Wild Things Are;100000000;77233467;99123656
12/15/2006;Eragon;100000000;75030163;249488115
7/25/2014;Hercules;100000000;72688614;243388614
12/10/2010;The Tourist;100000000;67631157;278731369
11/24/1999;End of Days;100000000;66889043;212026975
6/11/2004;The Stepford Wives;100000000;59475623;96221971
6/8/2007;Surf's Up;100000000;58867694;145395745
12/8/2006;Blood Diamond;100000000;57377916;171377916
9/24/2010;Legend of the Guardians: The Owls of Ga'Hoole;100000000;55675313;139716717
11/7/1997;Starship Troopers;100000000;54768952;121100000
6/5/2009;Land of the Lost;100000000;49438370;69548641
12/25/2003;Peter Pan;100000000;48417850;95255485
7/23/2004;Catwoman;100000000;40202379;82145379
8/15/2014;The Expendables 3;100000000;39322544;209461378
11/27/2002;Treasure Planet;100000000;38120554;91800000
3/12/2010;Green Zone;100000000;35497337;97523020
12/25/2015;Point Break;100000000;28782481;128131571
10/20/2017;Geostorm;100000000;28770341;141936671
12/11/2015;In the Heart of the Sea;100000000;25020758;90420758
4/18/2014;Transcendence;100000000;23022309;103039258
2/18/2005;Son of the Mask;100000000;17018422;59918422
8/16/2002;The Adventures of Pluto Nash;100000000;4411102;7094995
1/20/2012;Jin líng shí san chai;100000000;311434;98227017
3/15/2019;Amusement Park;100000000;0;0
11/6/2015;The Peanuts Movie;99000000;130178411;250474038
5/4/2001;The Mummy Returns;98000000;202007640;435040395
12/20/2002;Gangs of New York;97000000;77730500;183124621
5/19/2017;Alien: Covenant;97000000;74262031;238862031
3/13/2015;Cinderella;95000000;201151353;534551353
7/13/2012;Ice Age: Continental Drift;95000000;161321843;879765137
12/28/2001;Black Hawk Down;95000000;108638745;159691085
5/27/2010;Sex and the City 2;95000000;95347692;294680778
2/12/2010;Percy Jackson & the Olympians: The Lightning Thief;95000000;88768303;223050874
8/10/2012;The Campaign;95000000;86907746;104907746
11/12/2010;Unstoppable;95000000;81562942;169511609
5/9/1997;The Fifth Element;95000000;63570862;263898761
3/31/2000;The Road to El Dorado;95000000;50802661;65700000
12/11/2009;The Lovely Bones;95000000;44114232;94894448
8/19/2016;Ben-Hur;95000000;26410477;88725100
2/6/2015;Seventh Son;95000000;17223265;110623265
5/30/2003;Finding Nemo;94000000;380529370;936429370
12/17/2003;The Lord of the Rings: The Return of the King;94000000;377845905;1141403341
12/18/2002;The Lord of the Rings: The Two Towers;94000000;342548984;934699645
6/15/2001;Lara Croft: Tomb Raider;94000000;131144183;273330185
2/13/2015;Kingsman: The Secret Service;94000000;128261724;404561724
7/18/2001;Jurassic Park III;93000000;181166115;365900000
8/5/2011;Rise of the Planet of the Apes;93000000;176760185;482860185
2/14/2008;The Spiderwick Chronicles;92500000;71195053;162839667
11/5/2004;The Incredibles;92000000;261441092;614726752
2/14/2013;A Good Day to Die Hard;92000000;67349198;304249198
4/9/2004;The Alamo;92000000;22406362;23911362
12/22/1995;Cutthroat Island;92000000;10017322;18517322
12/25/2013;The Secret Life of Walter Mitty;91000000;58236838;188536838
7/1/1997;Men in Black;90000000;250690539;587790539
11/19/1999;Toy Story 2;90000000;245852179;511358276
8/3/2001;Rush Hour 2;90000000;226164286;347425832
12/25/2009;Sherlock Holmes;90000000;209028679;498438212
7/1/2009;Ice Age: Dawn of the Dinosaurs;90000000;196573705;859701857
7/21/2000;What Lies Beneath;90000000;155464351;288693989
4/15/2011;Rio;90000000;143619809;487519809
10/6/2006;The Departed;90000000;132384315;289660619
11/3/2000;Charlie's Angels;90000000;125305545;259736090
6/19/1998;Mulan;90000000;120620254;303500000
8/13/2008;Tropic Thunder;90000000;110461307;191091250
12/20/2011;The Girl with the Dragon Tattoo;90000000;102515793;239373970
7/11/1997;Contact;90000000;100920329;165900000
6/6/2008;You Don't Mess With the Zohan;90000000;100018837;202910991
5/19/1995;Die Hard: With a Vengeance;90000000;100012499;366101666
9/23/2016;The Magnificent Seven;90000000;93427848;159762983
12/18/2015;Alvin and the Chipmunks: The Road Chip;90000000;85886987;249520430
6/8/2001;Atlantis: The Lost Empire;90000000;84052762;186049020
12/25/2008;Valkyrie;90000000;83077762;203902107
7/24/2015;Pixels;90000000;78747585;244126300
6/29/2001;Artificial Intelligence: AI;90000000;78616689;235900000
11/26/2003;The Haunted Mansion;90000000;75817994;155750628
8/4/2000;Hollow Man;90000000;73209340;191200000
4/22/2005;The Interpreter;90000000;72708161;162753837
8/7/2013;Percy Jackson: Sea of Monsters;90000000;68559554;200859554
7/25/2003;Lara Croft: Tomb Raider: The Cradle of Life;90000000;65653758;157092943
6/10/2016;Now You See Me 2;90000000;65075540;328675540
11/21/2001;Spy Game;90000000;62362560;143049560
4/4/1997;The Saint;90000000;61363304;169400000
3/10/2000;Mission to Mars;90000000;60874615;106000000
12/17/1999;Bicentennial Man;90000000;58220776;87420776
7/7/2004;King Arthur;90000000;51877963;203877963
4/25/1997;Volcano;90000000;47546796;120100000
3/26/1997;The Devil's Own;90000000;42885593;140900000
7/19/2002;K-19: The Widowmaker;90000000;35168966;65716126
8/19/2011;Conan the Barbarian;90000000;21295021;63356133
10/21/2011;The Three Musketeers;90000000;20377913;139877913
4/21/2017;The Promise;90000000;8224288;10524093
11/24/2010;The Nutcracker in 3D;90000000;195459;20466016
5/10/1996;Twister;88000000;241688385;495700000
6/3/2005;Cinderella Man;88000000;61649911;105021488
7/8/2005;Fantastic Four;87500000;154696080;333132750
2/9/2001;Hannibal;87000000;165092266;350100280
7/25/2003;Seabiscuit;86000000;120277854;148715342
12/22/2000;Cast Away;85000000;233632142;427230516
11/17/2006;Happy Feet;85000000;198000317;385000317
12/7/2001;Ocean's Eleven;85000000;183417150;450728529
7/23/2004;The Bourne Supremacy;85000000;176087450;288587450
7/25/1997;Air Force One;85000000;172956409;315268353
4/3/2009;Fast & Furious;85000000;155064265;363064265
3/14/2008;Horton Hears a Who;85000000;154529439;299477886
3/21/2014;Divergent;85000000;150947895;276014965
9/28/2012;Hotel Transylvania;85000000;148313048;378505812
11/21/2007;Enchanted;85000000;127706877;340384141
2/10/2012;Safe House;85000000;126181630;208542162
7/20/2007;I Now Pronounce You Chuck and Larry;85000000;119725280;185708462
6/8/2007;Ocean's Thirteen;85000000;117144465;311744465
12/25/2009;It’s Complicated;85000000;112735375;224614744
11/20/1998;Enemy of the State;85000000;111549836;250649836
9/29/2006;Open Season;85000000;85105259;191932158
11/4/2011;Tower Heist;85000000;78046570;150422946
11/22/2000;102 Dalmatians;85000000;66941559;66941559
3/30/2012;Mirror Mirror;85000000;64935167;173613482
12/8/2006;The Holiday;85000000;63280000;205190324
6/16/2006;The Fast and the Furious: Tokyo Drift;85000000;62615510;157794205
12/9/2005;Memoirs of a Geisha;85000000;57010853;161510853
3/16/2001;Enemy at the Gates;85000000;51396781;96971293
6/18/1993;Last Action Hero;85000000;50016394;137298489
9/26/2003;The Rundown;85000000;47641743;80831893
11/23/2011;Arthur Christmas;85000000;46462469;149717124
1/20/2017;xXx: Return of Xander Cage;85000000;44898413;345114933
11/13/1998;Meet Joe Black;85000000;44650003;44650003
7/30/2010;Cats & Dogs: The Revenge of Kitty Galore;85000000;43585753;113026383
2/8/2002;Collateral Damage;85000000;40048332;78353508
3/15/2002;Showtime;85000000;37948765;78948765
6/30/1995;Judge Dredd;85000000;34687912;113487912
3/2/2007;Zodiac;85000000;33080084;83080084
8/13/2010;Scott Pilgrim vs. The World;85000000;31611316;48056764
3/28/2003;The Core;85000000;31111260;74132631
5/9/1997;Father's Day;85000000;28681080;35681080
6/14/2002;Scooby-Doo;84000000;153294164;276294164
7/28/2000;Nutty Professor II: The Klumps;84000000;123307945;166307945
7/19/2013;RED 2;84000000;53262560;137162560
